year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	gp	gs	Goals	Assists	Points	Shots	Shot PCT	SOG	SOG PCT	GWG	EMO G	Man-Down G	GB	TO	CT	FOW	FOs Taken	FO%	Pen	Pen Time	GGP	GGS	G Min	Goals Allowed	GAA	Saves	Save Pct	RC	YC	Clears Suc	Clears Att	Clear Pct
2016	12380	1	244	Furman	23	1536905	Farnish, Tommy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536905	Jr	1	1	1	1	 	 	0	 	""	 	""	 	 	 	4	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	58	1536906	Kipke, Conner	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536906	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	7	1647745	Atkins, Trevor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647745	Sr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	39	1647753	McDermott, Reilly	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647753	So	1	1	1	1	 	 	0	 	""	 	""	 	 	 	 	1	 	 	""	""	 	 	1	1	3,600	8	8.000	13	0.619	 	 	 	 	""
2016	12380	1	244	Furman	43	1647756	Deyo, Troy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647756	So	1	0	1	 	 	 	0	1	""	 	""	 	 	 	2	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	44	1647757	Moore, Jonah	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1647757	So	1	1	1	1	2	1	3	3	0.667	2	0.667	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	3	1764102	Williamson, David	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1764102	Fr	1	1	1	1	 	1	1	 	""	 	""	 	 	 	3	 	1	 	""	""	1	60	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	6	1764103	VanGalen, Matthew	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1764103	Fr	1	1	1	1	1	1	2	2	0.500	2	1.000	 	1	 	1	3	 	 	""	""	1	30	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	11	1764105	Scott, Zach	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1764105	Fr	1	1	1	1	 	 	0	1	""	1	1.000	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	14	1764106	Smith, Kevin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1764106	Fr	1	0	1	 	 	 	0	2	""	1	0.500	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	19	1764107	Barry, Finn	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1764107	Fr	1	1	1	1	 	 	0	3	""	1	0.333	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	22	1764109	Myers, Teddy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1764109	Fr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	26	1764111	Pinsoneault, Gus	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1764111	Fr	1	0	1	 	 	 	0	1	""	1	1.000	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	42	1764115	Cohen, Myles	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1764115	Fr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	1	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	25	1761649	Gazzillo, Nicholas	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1761649	Fr	1	0	1	 	 	 	0	2	""	2	1.000	 	 	 	1	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	9	1761648	Darby, Conor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1761648	So	1	1	1	1	1	 	1	3	0.333	1	0.333	 	 	 	3	2	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	32	1753996	Baldi, Christian	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1753996	Fr	1	0	1	 	 	 	0	1	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	20	1753993	Ratchford, William	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1753993	Fr	1	1	1	1	 	 	0	2	""	 	""	 	 	 	1	 	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	14	1753991	Johnson, Cole	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1753991	Fr	1	1	1	1	 	 	0	2	""	2	1.000	 	 	 	4	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	2	1753988	Giarrantana, Parker	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1753988	Fr	1	1	1	1	1	1	2	2	0.500	2	1.000	 	 	 	2	3	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	1	1753987	DeMuro, Dylan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1753987	Fr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	2	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	17	1753986	Sofroniou, Andrew	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1753986	So	1	0	1	 	 	 	0	1	""	 	""	 	 	 	5	1	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	24	1638668	Mermelstein, Zach	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1638668	So	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	1	 	""	""	1	60	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	23	1638667	Karlis, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1638667	Sr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	1	4	0.250	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	22	1638644	Sammarro, Chris	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1638644	So	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	19	1638642	Zingaro, Michael	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1638642	So	1	1	1	1	 	 	0	 	""	 	""	 	 	 	2	1	 	 	""	""	 	 	1	1	3,600	16	16.000	17	0.515	 	 	 	 	""
2016	12380	1	381	Manhattan	7	1638639	Frankauski, Nick	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1638639	So	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	381	Manhattan	45	1532878	Flannery, Connor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1532878	Jr	1	1	1	1	 	 	0	 	""	 	""	 	 	 	2	2	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
