game_id	section_id	player_id	player_name	player_url	starter	position	Goals	Assists	Points	Shots	SOG	Man-Up G	Man-Down G	GB	TO	CT	FO Won	FOs Taken	Pen	Pen Time	G Min	Goals Allowed	Saves	W	L	T	RC	YC	"Clears	Att"	Clear Pct
4004129	1	1750613	Ryan, Drew	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750613	true	""	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1750611	Scollins, Trevor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750611	true	""	0	0	0	0	0	0	0	1	0	0	0	0	0	0	650	0	2	0	0	0	0	0	0	0	0
4004129	1	1750610	Spillane, Nick	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750610	true	""	1	1	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1750609	Stern, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750609	true	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1526708	Sutton, Mike	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1526708	true	""	1	0	1	2	1	0	0	3	1	0	0	0	1	60	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1652347	Traynor, Tripp	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652347	true	""	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1443103	Von Nessen, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1443103	true	""	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1652348	Wellman, Josh	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652348	true	""	0	0	0	0	0	0	0	2	1	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1750607	Wright, Tommy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750607	true	""	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1652349	Young, Chris	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652349	true	""	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1		TEAM		true	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1		Totals		true	""	20	17	37	46	33	1	0	47	8	4	17	29	2	90	3	7	12	0	0	0	0	0	11	13	0
4003927	0	1527135	Bergman, Stefan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1527135	true	D	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4003927	0	1751996	Curran, Decker	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1751996	true	MF	1	0	1	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
