game_id	section_id	player_id	player_name	player_url	position	Goals	Assists	Points	Shots	SOG	Man-Up G	Man-Down G	GB	TO	CT	FO Won	FOs Taken	Pen	Pen Time	G Min	Goals Allowed	Saves	W	L	T	RC	YC	"Clears	Att"	Clear Pct
4003276	1		Totals		""	16/	12/	28/	55/	33/	2/	""	40	17	5	20/	23	2	120	3,600/	3	7	""	""	""	""	""	16	18	0.889
4003564	0	1765071	Shanks, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765071	M	1	2	3	5	3	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1423801	Brown, Carter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1423801	A	1	1	2	4	2	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1423808	Mahoney, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1423808	D	""	""	""	""	""	""	""	1	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1652320	Chell, Colin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1652320	A	1	""	1	3	1	1	""	1	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1652321	Evans, Erik	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1652321	D	""	""	""	""	""	""	""	1	""	""	""	""	1/	30	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1545236	Blubaugh, J.T.	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1545236	M	1	""	1	6	4	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1545237	Kelly, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1545237	M	1	1	2	5	2	""	""	1	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1423803	Haus, Robby	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1423803	D	""	""	""	""	""	""	""	1	""	""	""	""	1/	60/	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1423804	Hunter, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1423804	A	""	""	""	2	""	""	""	3	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1652329	Carey, Tom	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1652329	GK	""	""	""	""	""	""	""	3	""	""	""	""	""	""	3,600	7	5	1/	""	""	""	""	""	""	""
4003564	0	1765070	Morris, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765070	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1765067	Lori, Bo	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765067	""	""	""	""	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1652317	Barger, Brendan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1652317	""	""	""	""	""	""	""	""	2	""	3/	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1652337	Lichtenauer, Bryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1652337	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1765062	Fannell, Eric	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765062	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1652322	Freibott, Freddy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1652322	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003564	0	1765063	Jasinski, Jack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1765063	""	1	""	1	5	3	""	""	2	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
